,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
MISSOURI,MISSOURI,50.6,452,7,5,10.4,111,sec,8,10,768,0.553,1823,0.49,894,0.425,774,0.686,531,0.291,,3,15,12,1290,Missouri,,115.6,35.5,371,51.8,422,9.8,114,674,0.514,1868,0.436,814,0.351,655,0.747,489,0.262,,31.4,351,594,2411,9.5,210,0.431,805,0.365,294,1063,0.489,520,47.4,1025,0.553,14.3,365,68.4,564,2549,13.08,9.7,213,8.77,0.36,657,0.35,230,1166,0.569,664,52.6,1139,0.582,15.3,396,0.625,20
NORTH-CAROLINA-STATE,NORTH-CAROLINA-STATE,54.8,515,4,6,10.6,111,acc,8,10,814,0.553,2006,0.468,939,0.352,706,0.768,542,0.27,,6,11,13,1335,NC State,,119.0,28.5,325,49.4,426,9.3,105,817,0.53,1919,0.45,863,0.365,701,0.698,489,0.255,,30.3,354,560,2525,7.3,170,0.453,870,0.356,310,1049,0.527,553,50.7,1171,0.561,15.8,422,69.5,599,2762,18.03,11.5,266,10.85,0.439,881,0.388,342,1125,0.531,597,49.3,1139,0.59,11.5,305,0.606,20
NEBRASKA,NEBRASKA,65.6,575,3,7,8.7,82,big-ten,5,15,836,0.554,1884,0.465,876,0.272,512,0.75,384,0.204,,2,16,6,1290,Nebraska,,114.0,26.3,281,60.5,456,9.3,86,789,0.478,1865,0.404,754,0.248,463,0.726,336,0.18,,27.7,320,500,2119,7.5,162,0.493,919,0.299,275,946,0.506,479,49.8,1109,0.508,16.6,416,67.3,456,2473,21.54,10.7,232,10.48,0.507,956,0.353,337,928,0.581,539,50.2,1117,0.581,12.8,312,0.813,26
NORTH-CAROLINA,NORTH-CAROLINA,57.0,511,6,4,8.6,110,acc,6,12,872,0.546,1895,0.473,896,0.374,709,0.684,485,0.256,,0,18,8,1280,North Carolina,,116.0,31.4,345,48.1,406,9.0,98,754,0.482,2019,0.418,844,0.238,481,0.701,337,0.167,,28.1,341,584,2282,8.4,184,0.369,746,0.345,257,1273,0.461,587,47.4,1095,0.508,11.8,300,68.8,468,2553,19.4,7.8,171,10.94,0.423,801,0.345,276,1094,0.567,620,52.6,1217,0.572,12.2,309,0.75,24
NORTH-DAKOTA-STATE,NORTH-DAKOTA-STATE,53.9,528,5,10,9.0,97,summit,2,14,844,0.545,2091,0.468,979,0.308,644,0.725,467,0.223,,1,13,7,1380,North Dakota State,,116.1,33.3,395,54.2,456,8.5,103,792,0.511,1924,0.438,842,0.279,537,0.741,398,0.207,,25.2,284,543,2366,9.3,220,0.441,849,0.335,284,1075,0.519,558,46.5,1076,0.543,17.6,466,68.5,499,2745,2.51,12.0,283,-5.78,0.419,876,0.365,320,1215,0.542,659,53.5,1239,0.573,13.2,366,0.794,27
NORTHERN-IOWA,NORTHERN-IOWA,57.4,526,6,6,9.9,109,mvc,9,11,878,0.548,1921,0.477,916,0.256,491,0.699,343,0.179,,5,12,12,1410,Northern Iowa,,109.1,22.1,240,49.3,378,7.9,91,846,0.466,1884,0.407,766,0.287,540,0.719,388,0.206,,26.1,310,507,2144,9.0,202,0.417,785,0.285,224,1099,0.493,542,50.8,1156,0.501,16.3,416,63.7,534,2447,8.52,10.1,226,1.52,0.399,767,0.355,272,1154,0.558,644,49.2,1118,0.568,13.2,327,0.657,23
OHIO-STATE,OHIO-STATE,52.0,474,6,5,7.0,79,big-ten,8,12,790,0.565,1850,0.493,912,0.378,699,0.775,542,0.293,,3,14,12,1335,Ohio State,,118.6,30.8,307,53.4,445,8.8,98,691,0.503,1896,0.439,833,0.351,665,0.743,494,0.261,,30.0,338,623,2402,8.1,181,0.403,765,0.316,242,1131,0.523,591,48.4,1029,0.543,13.7,350,66.5,584,2633,19.1,7.2,161,12.1,0.401,741,0.36,267,1109,0.582,645,51.6,1097,0.603,13.6,343,0.636,21
PENNSYLVANIA,PENNSYLVANIA,52.6,388,8,4,8.6,87,ivy,5,9,696,0.505,1676,0.44,737,0.37,620,0.685,425,0.254,,2,12,11,1125,Pennsylvania,,108.3,31.2,323,53.2,404,9.6,105,712,0.514,1683,0.452,760,0.277,467,0.666,311,0.185,,29.7,294,533,2042,8.6,169,0.398,669,0.315,211,1014,0.541,549,49.7,1006,0.536,15.7,354,69.6,466,2119,-0.86,9.8,191,-1.97,0.345,578,0.381,220,1098,0.471,517,50.3,1019,0.538,13.3,301,0.607,17
PRAIRIE-VIEW,PRAIRIE-VIEW,44.8,418,13,3,12.1,163,swac,9,9,837,0.495,2102,0.443,932,0.43,904,0.753,681,0.324,,3,10,17,1405,Prairie View,,106.4,28.0,352,48.1,434,7.8,113,903,0.495,2065,0.437,902,0.416,859,0.721,619,0.3,,33.3,417,721,2662,8.8,227,0.346,714,0.335,239,1351,0.491,663,52.6,1320,0.538,17.8,535,73.8,670,2761,-12.71,10.7,278,-9.91,0.307,646,0.334,216,1456,0.492,716,47.4,1189,0.545,14.1,417,0.514,18
PURDUE,PURDUE,66.7,676,3,8,8.7,92,big-ten,7,13,823,0.577,2037,0.498,1014,0.283,577,0.744,429,0.211,,5,12,8,1365,Purdue,,124.6,36.7,388,57.8,496,6.6,79,670,0.523,1927,0.445,858,0.266,512,0.719,368,0.191,,26.2,292,574,2383,7.9,177,0.452,871,0.343,299,1056,0.529,559,44.3,962,0.549,13.9,351,65.4,501,2778,25.22,8.5,190,13.6,0.414,843,0.381,321,1194,0.58,693,55.7,1211,0.601,11.8,308,0.765,26
