,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
MARQUETTE,MARQUETTE,54.3,538,5,7,9.8,110,big-east,6,14,817,0.551,2072,0.478,991,0.256,530,0.715,379,0.183,34,2,14,9,1365,Marquette,,112.6,26.0,298,59.2,494,8.4,104,847,0.497,1965,0.424,834,0.282,555,0.753,418,0.213,,30.8,363,498,2370,8.1,192,0.431,846,0.336,284,1119,0.492,550,52.0,1210,0.532,18.3,500,69.3,522,2662,19.58,12.3,291,10.99,0.405,840,0.358,301,1232,0.56,690,48.0,1115,0.573,12.7,338,0.735,25
MCNEESE-STATE,MCNEESE-STATE,52.2,496,3,11,12.4,113,southland,1,17,824,0.558,1928,0.493,950,0.377,726,0.691,502,0.26,33,0,18,3,1320,McNeese State,,119.1,33.7,368,58.4,398,8.3,106,724,0.461,1769,0.385,681,0.318,562,0.71,399,0.226,,29.9,351,594,2030,6.9,153,0.485,858,0.314,269,911,0.452,412,47.4,1075,0.499,21.1,543,67.5,572,2654,7.16,15.4,343,-7.26,0.337,649,0.388,252,1279,0.546,698,52.6,1192,0.584,12.4,323,0.909,30
MICHIGAN-STATE,MICHIGAN-STATE,60.0,538,7,3,12.0,128,big-ten,10,10,807,0.515,1945,0.461,896,0.299,581,0.706,410,0.211,33,4,14,14,1325,Michigan State,,109.7,29.9,336,54.9,413,7.7,104,789,0.48,1824,0.412,752,0.326,595,0.714,425,0.233,,28.8,326,563,2176,7.8,172,0.413,753,0.328,247,1071,0.472,505,49.4,1115,0.516,16.4,412,66.4,546,2413,17.9,10.8,238,10.72,0.302,587,0.359,211,1358,0.504,685,50.6,1143,0.543,12.7,323,0.576,19
MISSISSIPPI-STATE,MISSISSIPPI-STATE,53.3,478,8,2,9.1,105,sec,10,8,881,0.517,1973,0.455,897,0.379,748,0.672,503,0.255,34,4,11,13,1365,Mississippi State,,108.1,35.5,423,48.5,396,10.6,129,770,0.477,1962,0.416,817,0.324,635,0.751,477,0.243,,27.5,335,616,2348,10.6,249,0.411,807,0.294,237,1155,0.502,580,45.9,1105,0.519,15.9,427,68.9,569,2542,14.92,11.7,275,9.22,0.382,754,0.325,245,1219,0.535,652,54.1,1304,0.546,15.9,440,0.618,21
MONTANA-STATE,MONTANA-STATE,48.8,445,10,4,6.4,81,big-sky,9,9,809,0.545,1954,0.466,911,0.297,581,0.733,426,0.218,34,7,10,17,1375,Montana State,,106.3,20.9,232,46.7,420,7.4,83,876,0.523,1934,0.465,900,0.359,694,0.712,494,0.255,,28.1,316,586,2518,8.4,201,0.347,671,0.334,224,1263,0.535,676,53.4,1192,0.556,17.0,463,69.9,629,2554,-4.57,11.7,280,-3.89,0.426,833,0.367,306,1121,0.54,605,46.6,1041,0.573,15.1,396,0.5,17
MOREHEAD-STATE,MOREHEAD-STATE,55.8,512,7,9,12.2,160,ovc,4,14,945,0.551,1956,0.469,918,0.299,584,0.705,412,0.211,34,1,14,8,1360,Morehead State,,113.9,35.5,395,40.6,307,7.7,83,718,0.437,1947,0.389,757,0.295,575,0.751,432,0.222,,25.2,318,538,2135,9.0,202,0.328,639,0.296,189,1308,0.434,568,43.6,1036,0.481,13.9,358,66.3,540,2566,0.7,8.8,199,-6.07,0.451,882,0.361,318,1074,0.559,600,56.4,1340,0.574,15.4,407,0.765,26
NORTH-CAROLINA-STATE,NORTH-CAROLINA-STATE,46.9,462,7,4,9.3,126,acc,11,9,886,0.508,2193,0.45,986,0.325,713,0.734,523,0.238,36,5,12,14,1455,NC State,,109.8,28.6,373,50.1,467,7.7,112,932,0.505,2104,0.443,933,0.319,672,0.732,492,0.234,,29.3,368,583,2617,7.5,187,0.354,745,0.348,259,1359,0.496,674,50.8,1300,0.54,15.7,450,68.8,589,2749,11.57,10.7,267,7.91,0.334,733,0.347,254,1460,0.501,732,49.2,1259,0.543,12.0,344,0.611,22
NEBRASKA,NEBRASKA,57.2,506,8,3,7.2,87,big-ten,8,12,933,0.532,1958,0.452,885,0.324,634,0.754,478,0.244,33,1,18,10,1335,Nebraska,,110.8,27.8,319,52.7,432,10.9,119,828,0.463,2065,0.397,819,0.277,572,0.699,400,0.194,,30.0,400,530,2313,8.9,206,0.417,862,0.319,275,1203,0.452,544,49.5,1228,0.495,14.0,379,69.3,522,2560,15.12,9.0,209,7.64,0.445,871,0.358,312,1087,0.527,573,50.5,1252,0.567,14.0,367,0.697,23
NEVADA,NEVADA,58.2,498,3,8,11.1,119,mwc,5,13,843,0.536,1802,0.475,856,0.454,818,0.721,590,0.327,33,2,15,7,1325,Nevada,,113.6,27.7,294,55.3,425,6.5,78,766,0.483,1840,0.417,768,0.339,624,0.696,434,0.236,,27.1,314,702,2213,7.3,162,0.415,764,0.318,243,1076,0.488,525,48.7,1080,0.518,15.5,393,67.0,585,2522,13.38,9.3,206,4.76,0.335,603,0.365,220,1199,0.53,636,51.3,1137,0.576,13.1,330,0.788,26
NEW-MEXICO,NEW-MEXICO,49.4,518,6,5,13.4,176,mwc,8,10,942,0.51,2279,0.46,1048,0.33,753,0.709,534,0.234,35,3,13,9,1400,New Mexico,,112.6,33.3,445,54.1,470,9.5,151,891,0.477,2059,0.422,868,0.336,691,0.731,505,0.245,,26.7,344,633,2468,8.0,204,0.364,750,0.303,227,1309,0.49,641,47.1,1235,0.517,17.2,495,72.5,616,2860,16.02,12.1,308,5.46,0.302,688,0.334,230,1591,0.514,818,52.9,1387,0.542,11.7,348,0.743,26
