assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
13.2,20,0,0,2.4,sec,2.1,5.9,14,0.3,0.493,76,0.382,29,0.158,12,0.667,8,22,0,,237,0.2,0.9,2,0.3,18,10.1,urban-klavzar-1,83,79,Guard,1.4,6,FLORIDA,0.618,47,0.362,17,3.5,16,0.508,11.9,11,29,0.414,12,18.5,,0.6,0.109,Urban Klavzar
13.2,20,0,0,2.4,sec,2.1,5.9,14,0.3,0.493,76,0.382,29,0.158,12,0.667,8,22,0,,237,0.2,0.9,2,0.3,18,10.1,urban-klavzar-1,83,79,Guard,1.4,6,FLORIDA,0.618,47,0.362,17,3.5,16,0.508,11.9,11,29,0.414,12,18.5,,0.6,0.109,Urban Klavzar
2.4,1,1.5,1,4.3,sec,3.6,17.2,12,0.2,0.587,23,0.522,12,0.696,16,0.438,7,17,0,,70,0.8,9.5,6,0.2,10,18.9,isaiah-brown-2,34,30,Guard,2.4,3,FLORIDA,0.304,7,0.429,3,13.5,18,0.556,8.9,3,16,0.563,9,22.7,,0.3,0.174,Isaiah Brown
2.4,1,1.5,1,4.3,sec,3.6,17.2,12,0.2,0.587,23,0.522,12,0.696,16,0.438,7,17,0,,70,0.8,9.5,6,0.2,10,18.9,isaiah-brown-2,34,30,Guard,2.4,3,FLORIDA,0.304,7,0.429,3,13.5,18,0.556,8.9,3,16,0.563,9,22.7,,0.3,0.174,Isaiah Brown
7.2,37,9.1,75,4.5,sec,3.6,26.1,206,2.3,0.666,154,0.662,102,0.455,70,0.543,38,32,32,,810,0.8,14.3,109,1.9,111,23.7,micah-handlogten-1,243,268,Center,2.8,41,FLORIDA,0.078,12,0.083,1,20.3,315,0.649,18.3,42,142,0.711,101,13.3,,4.2,0.208,Micah Handlogten
7.2,37,9.1,75,4.5,sec,3.6,26.1,206,2.3,0.666,154,0.662,102,0.455,70,0.543,38,32,32,,810,0.8,14.3,109,1.9,111,23.7,micah-handlogten-1,243,268,Center,2.8,41,FLORIDA,0.078,12,0.083,1,20.3,315,0.649,18.3,42,142,0.711,101,13.3,,4.2,0.208,Micah Handlogten
15.7,4,0,0,-1.7,sec,0.6,5.8,2,0,0.5,2,0.5,1,3,6,0.833,5,9,0,,36,-2.3,2.9,1,0,2,8.1,kajus-kublickas-1,7,9,Guard,1.5,1,FLORIDA,0,0,,0,4.3,3,0.722,45.2,4,2,0.5,1,11.3,,0,0.041,Kajus Kublickas
15.7,4,0,0,-1.7,sec,0.6,5.8,2,0,0.5,2,0.5,1,3,6,0.833,5,9,0,,36,-2.3,2.9,1,0,2,8.1,kajus-kublickas-1,7,9,Guard,1.5,1,FLORIDA,0,0,,0,4.3,3,0.722,45.2,4,2,0.5,1,11.3,,0,0.041,Kajus Kublickas
0,0,0,0,13.4,sec,2.7,0,0,0,1,1,1,1,0,0,,0,4,0,,2,10.7,0,0,0,0,45.9,bennett-andersen-1,2,1,Guard,0,0,FLORIDA,0,0,,0,0,0,1,0,0,1,1,1,22.9,,0,0.249,Bennett Andersen
0,0,0,0,13.4,sec,2.7,0,0,0,1,1,1,1,0,0,,0,4,0,,2,10.7,0,0,0,0,45.9,bennett-andersen-1,2,1,Guard,0,0,FLORIDA,0,0,,0,0,0,1,0,0,1,1,1,22.9,,0,0.249,Bennett Andersen
0,0,0,0,-66.7,sec,-15,0,0,0,0,1,0,0,0,0,,0,2,0,,1,-51.7,0,0,0,1,-57.2,cooper-josefsberg-1,0,0,Guard,0,0,FLORIDA,1,1,0,0,0,0,0,0,0,0,,0,45.8,,0,-0.56,Cooper Josefsberg
0,0,0,0,-66.7,sec,-15,0,0,0,0,1,0,0,0,0,,0,2,0,,1,-51.7,0,0,0,1,-57.2,cooper-josefsberg-1,0,0,Guard,0,0,FLORIDA,1,1,0,0,0,0,0,0,0,0,,0,45.8,,0,-0.56,Cooper Josefsberg
0,0,0,0,-11.1,sec,7.9,33.4,2,0,0,1,0,0,0,0,,0,4,0,,6,-19,0,0,0,4,-2.5,viktor-mikic-1,0,0,Center,9.4,1,FLORIDA,0,0,,0,17.5,2,0,0,0,1,0,0,7.9,,0,0.083,Viktor Mikic
0,0,0,0,-11.1,sec,7.9,33.4,2,0,0,1,0,0,0,0,,0,4,0,,6,-19,0,0,0,4,-2.5,viktor-mikic-1,0,0,Center,9.4,1,FLORIDA,0,0,,0,17.5,2,0,0,0,1,0,0,7.9,,0,0.083,Viktor Mikic
0,0,0,0,-80.4,sec,-27.3,0,0,0,0,2,0,0,0,0,,0,3,0,,3,-53,36.8,1,-0.1,1,-57.5,kevin-pazmino-1,0,1,Guard,0,0,FLORIDA,0.5,1,0,0,17.5,1,0,50,2,1,0,0,63,,-0.1,-0.892,Kevin Pazmino
0,0,0,0,-80.4,sec,-27.3,0,0,0,0,2,0,0,0,0,,0,3,0,,3,-53,36.8,1,-0.1,1,-57.5,kevin-pazmino-1,0,1,Guard,0,0,FLORIDA,0.5,1,0,0,17.5,1,0,50,2,1,0,0,63,,-0.1,-0.892,Kevin Pazmino
6.7,28,3.9,32,9.9,sec,2.2,13.7,115,1.5,0.579,342,0.541,185,0.365,125,0.744,93,32,32,,923,7.7,13.8,104,3.7,78,26.2,asa-newell-1,489,463,Forward,2.1,33,GEORGIA,0.254,87,0.299,26,13.7,219,0.609,7.6,33,255,0.624,159,23.5,,5.1,0.223,Asa Newell
