,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
2025-26,6.4,20.0,0.7,3.0,6.1,big-ten,3.7,9.5,44.0,0.8,0.548,94.0,0.404,38.0,0.33,31.0,0.903,28.0,33.0,1.0,,460.0,2.4,4.5,16.0,0.9,41.0,10.5,will-tschetter-1,131.0,126.0,Forward,0.4,3.0,MICHIGAN,0.766,72.0,0.375,27.0,7.3,60.0,0.602,8.4,10.0,22.0,0.5,11.0,12.5,,1.7,0.145,Will Tschetter
2025-26,5.9,2.0,0.0,0.0,1.1,big-ten,3.8,18.4,10.0,0.1,0.5,20.0,0.35,7.0,0.35,7.0,0.857,6.0,9.0,0.0,,54.0,-2.6,0.0,0.0,0.0,7.0,10.2,winters-grady-1,26.0,22.0,Guard,2.1,2.0,MICHIGAN,0.95,19.0,0.316,6.0,10.4,10.0,0.557,20.5,6.0,1.0,1.0,1.0,26.2,,0.1,0.102,Winters Grady
2025-26,11.9,6.0,1.4,1.0,-1.3,big-ten,2.8,15.5,12.0,0.1,0.381,21.0,0.381,8.0,0.095,2.0,0.5,1.0,12.0,0.0,,77.0,-4.1,10.1,6.0,0.0,12.0,6.7,oscar-goodman-1,17.0,22.0,Forward,0.0,0.0,MICHIGAN,0.286,6.0,0.0,0.0,13.1,18.0,0.387,12.0,3.0,15.0,0.533,8.0,15.6,,0.2,0.087,Oscar Goodman
2025-26,5.8,2.0,6.0,3.0,2.9,big-ten,4.4,25.3,14.0,0.2,0.538,13.0,0.538,7.0,0.385,5.0,0.2,1.0,11.0,0.0,,55.0,-1.5,14.1,6.0,0.1,10.0,14.0,malick-kordel-1,15.0,17.0,Center,1.0,1.0,MICHIGAN,0.077,1.0,0.0,0.0,20.5,20.0,0.488,11.5,2.0,12.0,0.583,7.0,15.3,,0.2,0.149,Malick Kordel
2025-26,11.3,1.0,0.0,0.0,-3.8,big-ten,3.0,0.0,0.0,0.0,0.5,3.0,0.333,1.0,0.667,2.0,0.5,1.0,4.0,0.0,,13.0,-6.7,10.0,1.0,0.0,3.0,4.3,charlie-may-1,4.0,5.0,Guard,4.3,1.0,MICHIGAN,0.667,2.0,0.5,1.0,4.3,1.0,0.506,33.6,2.0,1.0,0.0,0.0,22.1,,0.0,0.037,Charlie May
2025-26,0.0,0.0,0.0,0.0,2.8,big-ten,5.8,0.0,0.0,0.0,0.5,3.0,0.333,1.0,0.667,2.0,0.0,0.0,5.0,0.0,,7.0,-2.9,0.0,0.0,0.0,0.0,10.3,howard-eisley-jr-1,3.0,2.0,Guard,8.0,1.0,MICHIGAN,1.0,3.0,0.333,1.0,0.0,0.0,0.38,0.0,0.0,0.0,,0.0,27.3,,0.0,0.045,Howard Eisley Jr.
2025-26,9.9,64.0,2.9,32.0,11.0,sec,4.5,12.3,128.0,2.1,0.534,380.0,0.461,175.0,0.484,184.0,0.766,141.0,32.0,32.0,,1071.0,6.5,7.1,71.0,3.4,76.0,20.6,thomas-haugh-1,547.0,511.0,Forward,1.8,34.0,FLORIDA,0.445,169.0,0.331,56.0,9.7,199.0,0.585,9.3,48.0,211.0,0.564,119.0,21.8,,5.5,0.205,Thomas Haugh
2025-26,19.2,111.0,4.5,45.0,10.3,sec,5.4,17.8,170.0,2.1,0.562,321.0,0.548,176.0,0.567,182.0,0.648,118.0,32.0,32.0,,978.0,5.0,8.3,76.0,2.5,90.0,21.3,alex-condon-1,479.0,487.0,Forward,1.2,21.0,FLORIDA,0.165,53.0,0.17,9.0,13.2,246.0,0.588,16.4,80.0,268.0,0.623,167.0,22.6,,4.5,0.185,Alex Condon
2025-26,18.1,113.0,0.3,3.0,6.9,sec,5.2,5.9,57.0,1.8,0.479,317.0,0.435,138.0,0.344,109.0,0.725,79.0,33.0,33.0,,989.0,1.6,2.8,26.0,1.8,68.0,14.9,boogie-fland-1,383.0,389.0,Guard,3.2,58.0,FLORIDA,0.379,120.0,0.233,28.0,4.4,83.0,0.519,12.1,51.0,197.0,0.558,110.0,19.2,,3.7,0.148,Boogie Fland
2025-26,24.6,139.0,0.4,4.0,7.8,sec,4.8,12.7,112.0,1.8,0.494,319.0,0.414,132.0,0.26,83.0,0.771,64.0,33.0,33.0,,906.0,3.1,1.5,13.0,1.9,60.0,16.0,xaivian-lee-1,379.0,392.0,Guard,2.4,40.0,FLORIDA,0.567,181.0,0.282,51.0,7.2,125.0,0.529,14.1,59.0,138.0,0.587,81.0,20.9,,3.6,0.16,Xaivian Lee
2025-26,4.5,22.0,4.3,36.0,9.0,sec,4.0,30.4,243.0,2.2,0.583,247.0,0.583,144.0,0.47,116.0,0.69,80.0,33.0,33.0,,820.0,4.9,17.8,136.0,2.3,96.0,24.5,rueben-chinyelu-1,368.0,370.0,Center,1.7,25.0,FLORIDA,0.008,2.0,0.0,0.0,24.2,379.0,0.609,14.0,49.0,245.0,0.588,144.0,19.4,,4.4,0.217,Rueben Chinyelu
2025-26,9.3,40.0,0.3,2.0,7.8,sec,3.0,6.0,40.0,1.0,0.588,226.0,0.438,99.0,0.257,58.0,0.914,53.0,33.0,0.0,,689.0,4.8,1.6,10.0,2.0,51.0,14.8,urban-klavzar-1,319.0,273.0,Guard,1.0,12.0,FLORIDA,0.748,169.0,0.402,68.0,3.8,50.0,0.629,10.3,29.0,57.0,0.544,31.0,18.6,,2.9,0.17,Urban Klavzar
2025-26,8.4,20.0,2.5,10.0,7.2,sec,4.2,12.9,49.0,0.7,0.523,133.0,0.459,61.0,0.323,43.0,0.744,32.0,31.0,0.0,,389.0,3.0,7.7,28.0,1.0,48.0,17.1,isaiah-brown-2,171.0,160.0,Guard,1.6,11.0,FLORIDA,0.383,51.0,0.333,17.0,10.4,77.0,0.557,8.4,14.0,82.0,0.537,44.0,19.5,,1.7,0.178,Isaiah Brown
2025-26,7.2,22.0,6.2,30.0,8.6,sec,4.8,19.8,92.0,1.2,0.638,94.0,0.638,60.0,0.287,27.0,0.37,10.0,32.0,2.0,,476.0,3.7,21.6,96.0,1.1,65.0,20.8,micah-handlogten-1,130.0,160.0,Center,1.9,16.0,FLORIDA,0.011,1.0,0.0,0.0,20.7,188.0,0.608,17.1,22.0,93.0,0.645,60.0,12.3,,2.2,0.186,Micah Handlogten
2025-26,13.1,9.0,1.9,2.0,3.9,sec,2.6,6.8,7.0,0.2,0.516,32.0,0.406,13.0,0.313,10.0,0.5,5.0,20.0,0.0,,106.0,1.3,9.1,9.0,0.1,12.0,11.4,cj-ingram-ii-1,38.0,40.0,Guard,1.0,2.0,FLORIDA,0.469,15.0,0.467,7.0,7.9,16.0,0.517,17.9,8.0,17.0,0.353,6.0,19.1,,0.3,0.109,CJ Ingram II
2025-26,19.7,5.0,2.3,1.0,-7.4,sec,-0.2,12.2,5.0,0.1,0.395,19.0,0.368,7.0,0.579,11.0,0.455,5.0,16.0,0.0,,42.0,-7.3,20.4,8.0,0.0,9.0,10.3,viktor-mikic-1,20.0,24.0,Center,0.0,0.0,FLORIDA,0.105,2.0,0.5,1.0,16.2,13.0,0.413,19.9,6.0,17.0,0.353,6.0,32.6,,0.0,0.047,Viktor Mikic
2025-26,6.1,3.0,1.3,1.0,-5.7,sec,1.6,15.5,11.0,0.1,0.375,24.0,0.292,7.0,0.208,5.0,0.2,1.0,16.0,0.0,,73.0,-7.3,1.5,1.0,-0.1,8.0,0.8,alex-lloyd-1,19.0,18.0,Guard,0.8,1.0,FLORIDA,0.75,18.0,0.222,4.0,8.6,12.0,0.36,18.5,6.0,6.0,0.5,3.0,20.1,,0.0,-0.001,Alex Lloyd
2025-26,0.0,0.0,0.0,0.0,-1.0,sec,2.4,22.0,3.0,0.0,0.667,3.0,0.667,2.0,0.667,2.0,0.5,1.0,10.0,0.0,,14.0,-3.4,7.7,1.0,0.0,2.0,11.5,olivier-rioux-1,5.0,4.0,Center,0.0,0.0,FLORIDA,0.0,0.0,,0.0,15.0,4.0,0.633,20.2,1.0,3.0,0.667,2.0,16.0,,0.0,0.106,Olivier Rioux
2025-26,0.0,0.0,0.0,0.0,31.9,sec,10.6,100.0,2.0,0.0,0.75,2.0,0.5,1.0,0.0,0.0,,0.0,2.0,0.0,,2.0,21.4,0.0,0.0,0.0,0.0,65.2,cooper-josefsberg-1,3.0,2.0,Guard,0.0,0.0,FLORIDA,0.5,1.0,1.0,1.0,52.4,2.0,0.75,0.0,0.0,1.0,0.0,0.0,45.3,,0.0,0.503,Cooper Josefsberg
2025-26,3.1,1.0,2.3,1.0,-2.0,sec,2.8,7.2,3.0,0.1,0.188,8.0,0.125,1.0,0.0,0.0,,0.0,14.0,0.0,,43.0,-4.8,2.5,1.0,-0.1,1.0,0.2,alex-kovatchev-1,3.0,4.0,Guard,1.3,1.0,FLORIDA,0.875,7.0,0.143,1.0,4.9,4.0,0.188,11.1,1.0,1.0,0.0,0.0,9.5,,0.0,0.012,Alex Kovatchev
2025-26,9.8,52.0,1.0,8.0,4.4,big-east,1.3,9.8,82.0,1.5,0.496,359.0,0.401,144.0,0.295,106.0,0.849,90.0,33.0,33.0,,961.0,3.1,3.5,27.0,1.9,59.0,14.8,solomon-ball-2,446.0,397.0,Guard,0.9,14.0,CONNECTICUT,0.618,222.0,0.306,68.0,6.8,109.0,0.545,8.9,40.0,137.0,0.555,76.0,24.1,,3.5,0.145,Solomon Ball
2025-26,12.0,78.0,2.7,27.0,8.2,big-east,3.4,12.0,119.0,2.2,0.567,329.0,0.474,156.0,0.207,68.0,0.838,57.0,34.0,34.0,,1147.0,4.8,6.4,59.0,2.8,70.0,17.4,alex-karaban-1,430.0,408.0,Forward,1.5,28.0,CONNECTICUT,0.48,158.0,0.386,61.0,9.3,178.0,0.595,9.1,36.0,171.0,0.556,95.0,17.9,,5.0,0.175,Alex Karaban
