,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,team
2022-23,19.9,92.0,0.0,0.0,2.8,acc,1.5,6.0,49.0,1.2,0.478,323.0,0.418,135.0,0.226,73.0,0.74,54.0,,,,916.0,1.4,2.6,20.0,1.5,49.0,14.1,jeremy-roach-2,363.0,354.0,Guard,1.8,27.0,duke,0.365,118.0,0.331,39.0,4.3,69.0,0.507,14.0,58.0,205.0,0.468,96.0,23.2,,2.7,0.117,Jeremy Roach,Wake Forest
2022-23,20.3,102.0,0.5,4.0,2.7,acc,1.8,10.4,86.0,1.3,0.456,264.0,0.379,100.0,0.239,63.0,0.857,54.0,,,,925.0,0.9,2.0,16.0,1.3,53.0,12.3,tyrese-proctor-1,295.0,306.0,Guard,1.2,18.0,duke,0.496,131.0,0.313,41.0,6.3,102.0,0.502,15.5,54.0,133.0,0.444,59.0,19.2,,2.6,0.113,Tyrese Proctor,Wake Forest
2022-23,8.4,38.0,2.2,18.0,5.2,acc,2.6,13.0,99.0,1.4,0.523,220.0,0.482,106.0,0.377,83.0,0.771,64.0,,,,855.0,2.6,5.7,41.0,1.6,32.0,16.3,mark-mitchell-4,294.0,276.0,Forward,1.5,21.0,duke,0.223,49.0,0.367,18.0,9.4,140.0,0.567,14.2,43.0,171.0,0.515,88.0,18.1,,3.0,0.141,Mark Mitchell,Wake Forest
2022-23,14.9,46.0,3.0,17.0,8.5,acc,3.4,20.5,111.0,1.2,0.69,126.0,0.69,87.0,0.476,60.0,0.8,48.0,,,,607.0,5.1,15.8,81.0,2.3,71.0,25.0,ryan-young-2,222.0,236.0,Guard,1.0,10.0,duke,0.0,0.0,,0.0,18.2,192.0,0.718,18.5,35.0,126.0,0.69,87.0,16.0,,3.4,0.227,Ryan Young,Wake Forest
2022-23,10.5,26.0,0.9,4.0,2.5,acc,1.7,10.8,47.0,0.8,0.509,172.0,0.407,70.0,0.116,20.0,0.85,17.0,,,,487.0,0.9,3.2,13.0,0.5,39.0,12.9,dariq-whitehead-1,192.0,170.0,Forward,1.9,15.0,duke,0.494,85.0,0.412,35.0,7.1,60.0,0.529,15.8,34.0,87.0,0.402,35.0,22.6,,1.3,0.108,Dariq Whitehead,Wake Forest
2022-23,9.8,30.0,12.8,69.0,9.0,acc,6.6,17.2,88.0,1.4,0.66,106.0,0.651,69.0,0.311,33.0,0.636,21.0,,,,574.0,2.5,13.0,63.0,1.6,79.0,23.7,dereck-lively-ii-1,161.0,170.0,Center,1.5,14.0,duke,0.123,13.0,0.154,2.0,15.1,151.0,0.662,14.1,20.0,93.0,0.72,67.0,12.6,,3.0,0.209,Dereck Lively II,Wake Forest
2022-23,15.8,46.0,0.4,2.0,4.3,acc,2.6,11.5,54.0,0.8,0.515,131.0,0.397,52.0,0.122,16.0,0.938,15.0,,,,528.0,1.8,3.1,14.0,1.0,32.0,13.5,jacob-grandison-1,150.0,150.0,Guard,1.5,13.0,duke,0.702,92.0,0.337,31.0,7.4,68.0,0.541,11.5,18.0,39.0,0.538,21.0,15.2,,1.8,0.138,Jacob Grandison,Wake Forest
2022-23,16.8,40.0,1.3,5.0,3.0,acc,4.0,10.2,38.0,0.7,0.435,93.0,0.355,33.0,0.398,37.0,0.649,24.0,,,,417.0,-1.0,2.6,9.0,0.5,40.0,11.6,jaylen-blakes-1,105.0,113.0,Guard,2.6,18.0,duke,0.473,44.0,0.341,15.0,6.5,47.0,0.475,14.0,18.0,49.0,0.367,18.0,15.8,,1.2,0.115,Jaylen Blakes,Wake Forest
2022-23,7.9,4.0,2.3,2.0,3.3,acc,1.4,14.5,12.0,0.1,0.519,26.0,0.385,10.0,0.154,4.0,0.5,2.0,,,,93.0,1.9,2.5,2.0,0.2,3.0,14.6,jaden-schutt-1,29.0,26.0,Guard,0.7,1.0,duke,0.731,19.0,0.368,7.0,8.7,14.0,0.52,0.0,0.0,7.0,0.429,3.0,15.3,,0.4,0.152,Jaden Schutt,Wake Forest
2022-23,5.2,1.0,0.0,0.0,3.3,acc,-1.0,8.4,3.0,0.1,0.7,10.0,0.7,7.0,0.6,6.0,0.667,4.0,,,,40.0,4.3,26.6,9.0,0.2,4.0,26.9,christian-reeves-1,18.0,18.0,Center,1.5,1.0,duke,0.0,0.0,,0.0,17.3,12.0,0.7,18.9,3.0,10.0,0.7,7.0,20.3,,0.2,0.215,Christian Reeves,Wake Forest
2022-23,11.6,2.0,3.4,1.0,-1.5,acc,1.2,14.5,4.0,0.1,0.375,8.0,0.375,3.0,0.375,3.0,0.0,0.0,,,,31.0,-2.6,15.3,4.0,0.0,3.0,10.9,kate-catchings-1,6.0,8.0,Forward,2.0,1.0,duke,0.125,1.0,0.0,0.0,14.8,8.0,0.318,9.6,1.0,7.0,0.429,3.0,17.2,,0.1,0.066,Kale Catchings,Wake Forest
2022-23,0.0,0.0,0.0,0.0,2.5,acc,3.5,56.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,2.0,-1.0,0.0,0.0,0.0,0.0,8.6,stanley-borden-1,0.0,0.0,Center,0.0,0.0,duke,,0.0,,0.0,28.8,1.0,,,0.0,0.0,,0.0,0.0,,0.0,0.115,Stanley Borden,Wake Forest
2022-23,0.0,0.0,0.0,0.0,-24.3,acc,1.4,12.4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,,,9.0,-25.7,0.0,0.0,-0.1,2.0,-19.6,spencer-hubbard-1,0.0,0.0,Guard,6.8,1.0,duke,0.5,1.0,0.0,0.0,6.4,1.0,0.0,50.0,2.0,1.0,0.0,0.0,22.7,,-0.1,-0.274,Spencer Hubbard,Wake Forest
2022-23,12.8,2.0,0.0,0.0,-2.0,acc,5.1,9.3,2.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,,,24.0,-7.1,4.9,1.0,-0.1,2.0,1.5,max-johns-1,0.0,2.0,Guard,5.1,2.0,duke,0.0,0.0,,0.0,7.2,3.0,0.0,50.0,2.0,2.0,0.0,0.0,8.5,,0.0,-0.011,Max Johns,Wake Forest
2022-23,12.2,65.0,1.3,12.0,0.5,acc,-1.0,9.0,81.0,0.2,0.501,390.0,0.385,150.0,0.113,44.0,0.886,39.0,,,,1090.0,1.6,1.4,13.0,1.2,70.0,12.9,darin-greenjr-1,430.0,390.0,Guard,1.6,30.0,florida-state,0.641,250.0,0.364,91.0,5.2,94.0,0.523,11.2,52.0,140.0,0.421,59.0,21.8,,1.3,0.049,Darin Green Jr.,Wake Forest
2022-23,24.1,110.0,2.3,19.0,2.4,acc,0.5,10.0,79.0,0.4,0.455,334.0,0.41,137.0,0.401,134.0,0.836,112.0,,,,948.0,1.9,2.1,17.0,1.5,71.0,17.5,caleb-mills-1,416.0,424.0,Guard,2.6,43.0,florida-state,0.305,102.0,0.294,30.0,6.1,96.0,0.523,15.0,70.0,232.0,0.461,107.0,25.3,,1.9,0.081,Caleb Mills,Wake Forest
