,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
PRINCETON,PRINCETON,50.1,381,4,7,8.3,94,ivy,4,10,820,0.531,1658,0.459,761,0.315,522,0.709,370,0.223,28,3,11,8,1135,Princeton,,108.0,29.4,284,43.0,304,9.3,90,683,0.474,1681,0.421,707,0.289,485,0.682,331,0.197,,22.4,237,509,1923,9.1,179,0.327,549,0.324,178,1132,0.467,529,45.5,920,0.503,13.3,293,69.5,453,2130,2.83,7.1,140,-2.91,0.419,694,0.343,238,964,0.543,523,54.5,1104,0.559,15.7,355,0.714,20
PROVIDENCE,PROVIDENCE,53.4,470,6,6,11.5,146,big-east,7,13,834,0.515,1917,0.459,880,0.368,706,0.745,526,0.274,32,2,15,11,1305,Providence,,112.1,35.3,392,48.2,409,9.6,126,719,0.5,1917,0.443,849,0.255,489,0.744,364,0.19,,26.6,302,585,2282,8.7,193,0.339,649,0.339,220,1268,0.496,629,45.4,1021,0.531,14.9,376,68.4,479,2499,12.88,9.9,221,6.1,0.316,606,0.351,213,1311,0.509,667,54.6,1226,0.555,14.3,377,0.656,21
PURDUE,PURDUE,60.6,510,3,8,9.9,123,big-ten,5,15,872,0.524,1821,0.462,841,0.374,681,0.746,508,0.279,33,2,14,5,1325,Purdue,,113.7,38.5,402,51.1,407,8.7,98,642,0.472,1911,0.417,796,0.19,364,0.728,265,0.139,,23.6,269,621,2068,9.4,200,0.351,671,0.314,211,1240,0.472,585,41.7,911,0.496,13.6,329,64.2,452,2418,19.55,7.4,158,8.94,0.378,689,0.331,228,1132,0.542,613,58.3,1274,0.564,14.5,365,0.848,28
SAINT-MARYS-CA,SAINT-MARYS-CA,48.8,414,2,6,9.9,115,wcc,2,14,820,0.527,1854,0.458,849,0.312,579,0.693,401,0.216,33,2,16,7,1335,Saint Mary's (CA),,110.6,33.4,357,36.4,258,10.1,118,711,0.466,1707,0.415,708,0.308,526,0.745,392,0.23,,21.8,229,560,1984,7.4,157,0.317,541,0.325,176,1166,0.456,532,44.4,940,0.507,17.3,408,63.8,547,2355,18.11,10.6,225,7.15,0.372,689,0.372,256,1165,0.509,593,55.6,1177,0.553,14.2,352,0.788,26
SAN-DIEGO-STATE,SAN-DIEGO-STATE,52.9,443,2,8,11.3,123,mwc,3,15,827,0.507,1886,0.444,838,0.337,635,0.732,465,0.247,33,1,15,6,1330,San Diego State,,107.4,32.1,354,47.7,359,7.9,96,750,0.475,1809,0.416,753,0.286,517,0.737,381,0.211,,25.6,284,597,2099,9.4,209,0.4,724,0.293,212,1085,0.499,541,46.7,1034,0.511,17.5,437,66.6,532,2378,15.98,10.5,233,8.45,0.356,671,0.353,237,1215,0.495,601,53.3,1181,0.544,15.1,389,0.818,27
SOUTHEAST-MISSOURI-STATE,SOUTHEAST-MISSOURI-STATE,51.6,480,11,5,8.7,113,ovc,8,10,891,0.501,2134,0.436,931,0.379,808,0.715,578,0.271,35,4,9,16,1425,Southeast Missouri State,,103.3,26.8,341,50.8,460,7.6,98,932,0.509,2028,0.447,906,0.426,864,0.689,595,0.293,,26.9,328,698,2659,9.3,244,0.358,726,0.347,252,1302,0.502,654,50.6,1260,0.545,17.4,513,73.8,736,2718,-7.19,9.1,240,-6.71,0.398,849,0.327,278,1285,0.508,653,49.4,1232,0.54,15.4,459,0.543,19
SOUTHERN-CALIFORNIA,SOUTHERN-CALIFORNIA,51.7,430,5,5,13.7,165,pac-12,6,14,826,0.513,1820,0.457,831,0.338,616,0.744,458,0.252,32,2,15,10,1285,Southern California,,106.0,29.0,302,56.3,422,7.8,95,740,0.452,1923,0.39,750,0.298,573,0.719,412,0.214,,33.0,407,566,2152,9.9,217,0.374,719,0.334,240,1204,0.424,510,50.4,1147,0.49,15.4,399,68.4,550,2329,13.76,10.2,225,8.23,0.33,600,0.345,207,1220,0.511,624,49.6,1128,0.551,15.9,399,0.688,22
TEXAS-CHRISTIAN,TEXAS-CHRISTIAN,58.6,535,7,3,12.5,156,big-12,9,9,802,0.502,1999,0.457,913,0.339,678,0.701,475,0.238,33,4,13,12,1325,TCU,,105.7,32.4,378,55.9,456,10.1,142,788,0.478,1919,0.425,816,0.297,570,0.711,405,0.211,,30.7,356,546,2241,9.1,213,0.35,672,0.304,204,1247,0.491,612,49.2,1144,0.512,19.0,515,70.8,534,2481,16.26,11.6,272,8.98,0.294,588,0.306,180,1411,0.519,733,50.8,1180,0.534,14.8,402,0.636,21
TENNESSEE,TENNESSEE,66.2,558,6,4,11.8,120,sec,7,11,849,0.503,1931,0.437,843,0.309,597,0.714,426,0.221,33,2,14,10,1325,Tennessee,,108.0,36.8,429,50.1,322,8.5,98,738,0.424,1741,0.369,643,0.349,608,0.722,439,0.252,,26.9,312,589,1915,10.2,224,0.416,725,0.262,190,1016,0.446,453,45.1,1050,0.472,19.3,487,66.2,553,2369,21.9,12.4,273,8.15,0.404,780,0.329,257,1151,0.509,586,54.9,1278,0.535,15.2,398,0.697,23
TEXAS,TEXAS,57.1,548,6,4,10.2,125,big-12,6,12,836,0.527,2049,0.468,959,0.315,646,0.752,486,0.237,34,1,17,8,1375,Texas,,109.5,28.3,332,48.3,386,8.3,111,843,0.478,1901,0.42,799,0.345,655,0.724,474,0.249,,29.4,348,611,2292,8.1,195,0.354,673,0.327,220,1228,0.471,579,50.5,1191,0.518,19.9,551,70.4,599,2647,21.31,11.3,274,10.87,0.35,717,0.339,243,1332,0.538,716,49.5,1168,0.562,14.5,398,0.765,26
TEXAS-AM,TEXAS-AM,53.3,424,4,7,8.0,78,sec,3,15,814,0.496,1809,0.44,796,0.462,836,0.757,633,0.35,33,1,15,8,1320,Texas A&M,,109.3,36.6,401,59.3,432,11.1,132,696,0.478,1802,0.405,729,0.352,634,0.703,446,0.248,,29.7,344,669,2169,10.8,240,0.456,822,0.322,265,980,0.473,464,46.1,1040,0.516,18.3,470,67.3,601,2427,15.09,10.2,227,7.28,0.341,617,0.327,202,1192,0.498,594,53.9,1215,0.55,15.6,407,0.758,25
TEXAS-AM-CORPUS-CHRISTI,TEXAS-AM-CORPUS-CHRISTI,56.1,518,7,7,5.2,56,southland,4,14,824,0.521,2020,0.457,923,0.345,696,0.79,550,0.272,33,2,14,10,1330,Texas A&M-Corpus Christi,,111.4,33.5,393,57.3,477,8.2,109,779,0.517,1868,0.446,833,0.36,673,0.688,463,0.248,,27.8,318,619,2394,8.9,211,0.429,801,0.331,265,1067,0.532,568,47.4,1097,0.547,18.9,509,71.6,629,2653,-2.31,12.1,289,-7.66,0.346,698,0.368,257,1322,0.504,666,52.6,1217,0.564,15.4,428,0.697,23
TEXAS-SOUTHERN,TEXAS-SOUTHERN,45.6,396,13,3,9.0,116,swac,11,7,887,0.467,2033,0.427,868,0.344,700,0.661,463,0.228,34,6,7,20,1390,Texas Southern,,95.8,31.1,395,46.9,396,7.9,115,874,0.484,1983,0.426,845,0.367,728,0.707,515,0.26,,27.5,336,637,2434,10.6,262,0.351,697,0.329,229,1286,0.479,616,48.6,1210,0.523,16.7,467,70.9,633,2361,-9.46,9.2,227,-4.49,0.281,571,0.284,162,1462,0.483,706,51.4,1282,0.499,17.4,497,0.412,14
CALIFORNIA-SANTA-BARBARA,CALIFORNIA-SANTA-BARBARA,53.6,483,4,10,6.8,86,big-west,5,15,815,0.545,1826,0.493,901,0.348,635,0.728,462,0.253,34,3,12,7,1365,UC Santa Barbara,,109.7,27.0,275,48.2,394,6.1,78,745,0.495,1851,0.441,817,0.286,530,0.753,399,0.216,,25.8,283,606,2231,7.5,168,0.312,577,0.343,198,1274,0.486,619,48.5,1028,0.53,16.7,421,65.6,547,2454,3.9,9.8,219,-2.16,0.295,539,0.353,190,1287,0.552,711,51.5,1090,0.577,15.3,383,0.794,27
UCLA,UCLA,50.9,483,2,9,11.9,131,pac-12,2,18,819,0.509,2071,0.458,949,0.271,562,0.722,406,0.196,34,0,17,5,1360,UCLA,,109.8,33.6,394,51.4,380,6.3,92,777,0.468,1818,0.406,739,0.276,502,0.697,350,0.193,,27.6,312,562,2050,6.9,159,0.393,714,0.311,222,1104,0.468,517,47.3,1089,0.498,20.8,540,67.3,533,2513,22.6,12.5,287,8.98,0.291,602,0.347,209,1469,0.504,740,52.7,1213,0.537,13.0,349,0.853,29
NORTH-CAROLINA-ASHEVILLE,NORTH-CAROLINA-ASHEVILLE,49.8,437,6,10,10.1,136,big-south,2,16,907,0.55,1839,0.477,878,0.413,759,0.694,527,0.287,34,0,13,7,1380,UNC Asheville,,106.4,26.4,287,45.4,394,10.6,122,801,0.472,2062,0.42,867,0.261,538,0.717,386,0.187,,28.1,355,690,2332,9.8,236,0.347,715,0.297,212,1347,0.486,655,49.2,1156,0.503,15.9,438,69.5,527,2551,-1.48,9.0,216,-5.33,0.374,687,0.39,268,1152,0.53,610,50.8,1194,0.58,17.9,480,0.794,27
UTAH-STATE,UTAH-STATE,62.4,573,4,6,8.6,115,mwc,5,13,919,0.563,1916,0.48,919,0.35,670,0.764,512,0.267,34,2,14,8,1365,Utah State,,113.1,27.3,291,47.1,397,7.8,86,776,0.479,2002,0.421,843,0.303,606,0.748,453,0.226,,24.6,300,643,2370,8.0,188,0.334,669,0.345,231,1333,0.459,612,47.1,1076,0.518,14.2,378,69.2,578,2671,15.26,7.2,170,7.29,0.426,816,0.393,321,1100,0.544,598,52.9,1210,0.598,15.5,411,0.765,26
VERMONT,VERMONT,51.3,450,6,9,8.5,97,america-east,2,14,820,0.552,1848,0.475,878,0.287,531,0.697,370,0.2,33,1,13,10,1337,Vermont,,110.0,20.5,215,45.3,365,8.4,89,836,0.51,1810,0.445,806,0.266,482,0.726,350,0.193,,22.3,236,516,2198,7.5,164,0.369,667,0.354,236,1143,0.499,570,50.9,1072,0.539,15.8,384,65.6,490,2410,1.76,9.0,197,-3.68,0.428,791,0.359,284,1057,0.562,594,49.1,1035,0.574,12.8,308,0.697,23
VIRGINIA,VIRGINIA,65.8,506,5,6,13.5,135,acc,5,15,761,0.513,1711,0.449,769,0.345,591,0.701,414,0.242,32,1,15,7,1285,Virginia,,108.3,25.5,264,52.9,365,11.0,120,770,0.483,1661,0.415,690,0.261,433,0.748,324,0.195,,25.0,254,519,1928,7.7,155,0.397,659,0.34,224,1002,0.465,466,50.0,1024,0.516,17.4,394,62.4,458,2170,13.69,11.0,221,6.13,0.361,617,0.353,218,1094,0.504,551,50.0,1025,0.545,12.1,274,0.781,25
VIRGINIA-COMMONWEALTH,VIRGINIA-COMMONWEALTH,52.6,432,3,8,12.8,152,atlantic-10,3,15,795,0.522,1766,0.465,822,0.419,740,0.7,518,0.293,33,3,15,7,1320,Virginia Commonwealth,,104.0,28.8,304,50.7,381,9.4,112,751,0.474,1798,0.418,751,0.303,545,0.697,380,0.211,,29.4,331,649,2083,9.7,220,0.339,610,0.33,201,1188,0.463,550,49.6,1082,0.506,21.2,552,68.8,536,2361,9.84,13.2,300,1.41,0.328,579,0.344,199,1187,0.525,623,50.4,1099,0.557,17.5,448,0.788,26
WEST-VIRGINIA,WEST-VIRGINIA,50.6,435,8,3,8.7,102,big-12,11,7,750,0.517,1897,0.453,860,0.397,753,0.741,558,0.294,33,4,13,14,1325,West Virginia,,108.8,33.7,367,50.3,408,6.4,77,722,0.507,1812,0.448,811,0.384,696,0.727,506,0.279,,29.3,311,709,2344,9.5,220,0.35,634,0.341,216,1178,0.505,595,48.0,1033,0.547,18.4,483,69.9,608,2518,16.53,9.5,221,11.26,0.363,689,0.348,240,1208,0.513,620,52.0,1117,0.558,16.0,428,0.576,19
XAVIER,XAVIER,63.8,655,4,7,7.8,108,big-east,5,15,921,0.556,2077,0.494,1027,0.308,640,0.714,457,0.22,34,2,15,9,1365,Xavier,,112.9,31.8,359,54.3,503,9.4,134,771,0.504,2090,0.443,926,0.271,566,0.724,410,0.196,,25.4,313,599,2518,9.9,243,0.342,714,0.359,256,1376,0.487,670,45.9,1084,0.534,14.7,405,71.8,540,2768,16.42,9.1,222,9.07,0.313,650,0.395,257,1427,0.54,770,54.1,1280,0.581,15.3,429,0.735,25
