,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
2024-25,25.7,42.0,0.4,1.0,-3.2,swac,-0.8,8.8,25.0,0.5,0.481,105.0,0.438,46.0,0.333,35.0,0.686,24.0,31.0,0.0,,325.0,-2.4,2.1,7.0,0.4,16.0,16.1,shawn-fulcher-1,125.0,131.0,Guard,3.4,19.0,ALABAMA-STATE,0.257,27.0,0.333,9.0,5.2,32.0,0.514,15.9,23.0,78.0,0.474,37.0,21.9,,0.8,0.1,Shawn Fulcher
2024-25,4.1,5.0,1.0,2.0,-7.1,swac,-2.9,10.7,21.0,0.2,0.5,54.0,0.407,22.0,0.63,34.0,0.735,25.0,19.0,0.0,,224.0,-4.2,6.2,14.0,0.3,30.0,11.6,jalen-keago-1,79.0,76.0,Guard,1.0,4.0,ALABAMA-STATE,0.611,33.0,0.303,10.0,8.3,35.0,0.563,15.6,13.0,21.0,0.571,12.0,18.3,,0.5,0.095,Jalen Keago
2024-25,1.7,5.0,5.1,21.0,-8.4,swac,-0.9,17.6,75.0,0.8,0.5,52.0,0.5,26.0,0.615,32.0,0.438,14.0,34.0,21.0,,485.0,-7.5,11.1,54.0,0.0,82.0,8.2,ubong-okon-1,66.0,88.0,Center,1.2,10.0,ALABAMA-STATE,0.0,0.0,,0.0,14.1,129.0,0.491,28.7,27.0,52.0,0.5,26.0,9.6,,0.8,0.064,Ubong Okon
2024-25,5.8,5.0,4.2,5.0,-4.4,swac,-0.3,20.5,25.0,0.2,0.25,12.0,0.25,3.0,0.917,11.0,0.636,7.0,9.0,0.0,,139.0,-4.1,10.0,14.0,0.1,16.0,9.1,mario-andrews-1,13.0,22.0,Center,1.2,3.0,ALABAMA-STATE,0.0,0.0,,0.0,14.9,39.0,0.377,18.8,4.0,12.0,0.25,3.0,7.5,,0.3,0.079,Mario Andrews
2024-25,0.0,0.0,16.7,1.0,16.7,swac,2.7,0.0,0.0,0.0,0.875,4.0,0.75,3.0,0.75,3.0,1.0,3.0,4.0,0.0,,7.0,14.1,0.0,0.0,0.0,1.0,52.0,jordon-marshall-1,10.0,6.0,Guard,0.0,0.0,ALABAMA-STATE,0.25,1.0,1.0,1.0,0.0,0.0,0.922,26.9,2.0,3.0,0.667,2.0,52.3,,0.0,0.249,Jordon Marshall
2024-25,13.7,44.0,1.8,14.0,4.0,patriot,-0.9,21.6,153.0,1.5,0.63,399.0,0.556,222.0,0.256,102.0,0.745,76.0,34.0,34.0,,923.0,4.8,5.3,38.0,2.8,93.0,25.7,matt-rogers-1,579.0,496.0,Forward,1.5,23.0,AMERICAN,0.371,148.0,0.399,59.0,13.4,191.0,0.647,13.4,69.0,251.0,0.649,163.0,31.2,,4.3,0.187,Matt Rogers
2024-25,7.9,32.0,0.3,2.0,0.0,patriot,-0.7,14.4,95.0,1.2,0.608,200.0,0.505,101.0,0.515,103.0,0.854,88.0,32.0,32.0,,860.0,0.7,4.6,31.0,2.1,87.0,16.8,greg-jones-9,331.0,306.0,Forward,2.0,28.0,AMERICAN,0.455,91.0,0.451,41.0,9.5,126.0,0.665,15.3,45.0,109.0,0.55,60.0,19.0,,3.3,0.153,Greg Jones
2024-25,26.2,112.0,0.3,2.0,-2.1,patriot,-0.5,9.4,66.0,1.4,0.473,263.0,0.422,111.0,0.312,82.0,0.841,69.0,30.0,27.0,,913.0,-1.6,2.3,16.0,0.9,64.0,14.7,elijah-stephens-1,318.0,347.0,Guard,3.3,49.0,AMERICAN,0.304,80.0,0.338,27.0,5.8,82.0,0.527,18.6,69.0,183.0,0.459,84.0,22.6,,2.3,0.101,Elijah Stephens
2024-25,10.2,41.0,0.1,1.0,-2.7,patriot,-1.5,6.6,43.0,1.0,0.496,241.0,0.411,99.0,0.378,91.0,0.813,74.0,32.0,31.0,,850.0,-1.2,1.8,12.0,1.6,63.0,14.1,colin-smalls-1,313.0,291.0,Guard,2.0,27.0,AMERICAN,0.523,126.0,0.325,41.0,4.2,55.0,0.551,6.3,19.0,115.0,0.504,58.0,19.9,,2.6,0.123,Colin Smalls
2024-25,10.9,45.0,1.8,13.0,-2.4,patriot,-1.7,10.6,68.0,1.0,0.505,199.0,0.402,80.0,0.261,52.0,0.846,44.0,34.0,18.0,,834.0,-0.7,1.7,11.0,0.9,35.0,11.7,matt-mayock-1,245.0,235.0,Forward,1.0,14.0,AMERICAN,0.603,120.0,0.342,41.0,6.1,79.0,0.548,12.2,31.0,79.0,0.494,39.0,17.0,,1.9,0.091,Matt Mayock
2024-25,13.7,64.0,1.5,11.0,-1.9,patriot,0.4,20.6,139.0,1.4,0.433,127.0,0.409,52.0,0.362,46.0,0.5,23.0,34.0,19.0,,880.0,-2.3,8.5,58.0,0.8,79.0,11.2,lincoln-ball-1,133.0,188.0,Guard,1.9,27.0,AMERICAN,0.244,31.0,0.194,6.0,14.5,197.0,0.447,13.9,24.0,96.0,0.479,46.0,10.9,,2.2,0.1,Lincoln Ball
2024-25,14.4,31.0,0.0,0.0,-3.9,patriot,-1.6,11.4,38.0,0.5,0.484,122.0,0.336,41.0,0.033,4.0,0.5,2.0,19.0,8.0,,435.0,-2.3,1.2,4.0,0.1,32.0,8.5,geoff-sprouse-1,120.0,118.0,Guard,1.7,12.0,AMERICAN,0.844,103.0,0.35,36.0,6.3,42.0,0.484,13.9,20.0,19.0,0.263,5.0,18.4,,0.6,0.055,Geoff Sprouse
2024-25,14.5,31.0,0.0,0.0,-5.3,patriot,-0.4,8.6,28.0,0.6,0.412,113.0,0.327,37.0,0.186,21.0,0.667,14.0,34.0,1.0,,425.0,-4.8,3.0,10.0,-0.1,42.0,8.0,wyatt-nausadis-1,107.0,115.0,Guard,3.1,21.0,AMERICAN,0.619,70.0,0.271,19.0,5.8,38.0,0.435,15.2,22.0,43.0,0.419,18.0,19.0,,0.5,0.045,Wyatt Nausadis
2024-25,5.6,8.0,5.7,15.0,-6.9,patriot,-1.0,19.4,46.0,0.5,0.494,77.0,0.494,38.0,0.39,30.0,0.467,14.0,28.0,0.0,,309.0,-5.9,8.7,21.0,0.0,39.0,11.8,eric-michaels-1,90.0,91.0,Forward,0.8,4.0,AMERICAN,0.0,0.0,,0.0,14.1,67.0,0.493,16.5,18.0,77.0,0.494,38.0,19.7,,0.5,0.069,Eric Michaels
2024-25,7.4,7.0,1.7,3.0,-6.4,patriot,-1.6,14.1,22.0,0.3,0.525,61.0,0.41,25.0,0.164,10.0,0.6,6.0,25.0,0.0,,203.0,-4.8,7.6,12.0,0.1,32.0,11.4,julen-iturbe-1,70.0,68.0,Forward,2.4,8.0,AMERICAN,0.672,41.0,0.341,14.0,10.9,34.0,0.532,18.6,15.0,20.0,0.55,11.0,22.2,,0.4,0.074,Julen Iturbe
2024-25,7.5,5.0,2.0,2.0,-6.6,patriot,0.2,16.6,15.0,0.2,0.333,9.0,0.333,3.0,0.778,7.0,0.714,5.0,23.0,0.0,,118.0,-6.8,15.3,14.0,0.1,25.0,9.1,mason-whittaker-1,11.0,22.0,Forward,3.7,7.0,AMERICAN,0.111,1.0,0.0,0.0,15.9,29.0,0.446,32.7,6.0,8.0,0.375,3.0,8.7,,0.3,0.101,Mason Whittaker
2024-25,6.6,4.0,0.0,0.0,-12.2,patriot,-1.9,17.4,14.0,0.2,0.077,13.0,0.077,1.0,0.615,8.0,0.75,6.0,15.0,0.0,,105.0,-10.3,1.2,1.0,-0.2,10.0,-0.7,adrian-samuels-1,8.0,10.0,Guard,1.8,3.0,AMERICAN,0.615,8.0,0.0,0.0,9.3,15.0,0.238,26.3,6.0,5.0,0.2,1.0,12.1,,-0.1,-0.036,Adrian Samuels
2024-25,8.0,1.0,0.0,0.0,-19.5,patriot,-7.6,0.0,0.0,0.0,0.25,6.0,0.167,1.0,0.333,2.0,0.5,1.0,3.0,0.0,,23.0,-11.9,0.0,0.0,-0.1,4.0,-0.1,alex-daniels-1,4.0,4.0,Guard,5.4,2.0,AMERICAN,0.5,3.0,0.333,1.0,0.0,0.0,0.288,12.6,1.0,3.0,0.0,0.0,19.3,,0.0,-0.036,Alex Daniels
2024-25,0.0,0.0,0.0,0.0,-25.3,patriot,-9.2,37.3,2.0,0.0,0.5,3.0,0.333,1.0,0.0,0.0,,0.0,3.0,0.0,,7.0,-16.1,0.0,0.0,0.0,0.0,15.0,adam-holod-1,3.0,2.0,Guard,0.0,0.0,AMERICAN,0.667,2.0,0.5,1.0,18.5,2.0,0.5,0.0,0.0,1.0,0.0,0.0,23.9,,0.0,0.097,Adam Holod
2024-25,11.9,1.0,0.0,0.0,-9.0,patriot,-1.9,16.3,2.0,0.0,0.333,3.0,0.333,1.0,0.0,0.0,,0.0,7.0,0.0,,16.0,-7.0,0.0,0.0,0.0,2.0,3.1,noah-jones-1,2.0,2.0,Forward,0.0,0.0,AMERICAN,0.0,0.0,,0.0,8.1,2.0,0.333,0.0,0.0,3.0,0.333,1.0,10.4,,0.0,0.032,Noah Jones
